"","knumber","decisiondate","decision","dec_yr","dec_mo","dec_day","dec_date","medicalspecialty","predicates1","predicates2","predicates3","predicates4","predicates5","predicates6","predicates7","predicates8","predicates9","predicates10","predicates11","predicates12","predicates13","predicates14","predicates15","predicates16","predicates17","predicates18","predicates19","predicates20","predicates21","predicates22","predicates23","predicates24","predicates25","predicates26","predicates27","predicates28","predicates29","predicates30","predicates31","predicates32","predicates33","predicates34","predicates35","predicates36","predicates37","predicates38","predicates39","predicates40","predicates41","predicates42","predicates43","predicates44","predicates45","predicates46","predicates47","predicates48","predicates49","predicates50","predicates51","predicates52","predicates53","predicates54","predicates55","predicates56","predicates57","predicates58","predicates59","predicates60","predicates61","predicates62","predicates63","predicates64","predicates65","predicates66","predicates67","predicates68","predicates69","predicates70","predicates71","predicates72","predicates73","predicates74","predicates75","predicates76","predicates77","predicates78","predicates79","predicates80","predicates81","predicates82","predicates83","predicates84","predicates85","predicates86","predicates87","predicates88","predicates89","predicates90","predicates91","duplicate","regulationnumber","meta.disclaimer","meta.terms","meta.license","meta.last_updated","meta.results.skip","meta.results.limit","meta.results.total","results.cfres_id","results.product_res_number","results.event_date_initiated","results.event_date_created","results.recall_status","results.res_event_number","results.product_code","results.product_description","results.code_info","results.recalling_firm","results.address_1","results.address_2","results.city","results.state","results.postal_code","results.additional_info_contact","results.reason_for_recall","results.root_cause_description","results.action","results.product_quantity","results.distribution_pattern","results.firm_fei_number","results.other_submission_description","results.openfda.registration_number","results.openfda.fei_number","results.openfda.device_name","results.openfda.medical_specialty_description","results.openfda.regulation_number","results.openfda.device_class","results.openfda.k_number","results.openfda.pma_number","results.event_date_posted","results.event_date_terminated","results.pma_numbers"
"115","K193168",2020-02-13,"SESE",2020,2,13,2020-02-13,"OR","K142828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.3045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","K193172",2020-07-02,"SESE",2020,7,2,2020-07-02,"OR","K183560","K150152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","K193175",2020-08-11,"SESE",2020,8,11,2020-08-11,"OR","K170452","K161742","K171058","K181826","K180089","K112144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","K193180",2020-02-24,"SESE",2020,2,24,2020-02-24,"OR","K191814","K150583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","K193203",2020-02-18,"SESE",2020,2,18,2020-02-18,"OR","K171097","K163364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","K193211",2020-03-20,"SESE",2020,3,20,2020-03-20,"OR","K113173","K133369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","K193214",2020-11-10,"SESE",2020,11,10,2020-11-10,"OR","K981967","K122437","K140891","K143188","K190035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","K193222",2020-01-20,"SESE",2020,1,20,2020-01-20,"OR","K162674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","K193223",2020-01-24,"SESE",2020,1,24,2020-01-24,"OR","K113369","K062768","K172524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","K193226",2020-06-03,"SESE",2020,6,3,2020-06-03,"OR","K143552","K162024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","K193233",2020-05-27,"SESE",2020,5,27,2020-05-27,"OR","K121308","K022549","K013106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.3358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","K193245",2020-02-14,"SESE",2020,2,14,2020-02-14,"OR","K160996","K082215","K112526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","K193247",2020-08-05,"SESE",2020,8,5,2020-08-05,"OR","K182461","K171010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","K193255",2020-02-20,"SESE",2020,2,20,2020-02-20,"OR","K143479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","K193256",2020-03-02,"SESE",2020,3,2,2020-03-02,"OR","K171863","K915800","K993099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.304,"Do not rely on openFDA to make decisions regarding medical care. While we make every effort to ensure that data is accurate, you should assume all results are unvalidated. We may limit or otherwise restrict your access to the API in line with our Terms of Service.","https://open.fda.gov/terms/","https://open.fda.gov/license/","2021-11-25","0","45910","45910","182271","Z-2778-2020","2020-06-18","2020-08-10","Terminated","85958","JEC","Anjon Bremer Molded Crown.  bone fixation fastener for spinal use. REF number 100048 - Product Usage: Smooth or threaded metallic bone fixation fastener. Provides cervical spine immobilization and therapeutic traction for treatment of patients with cervical trauma or other neck conditions.","REF number 100048 Lot # 170240, US customer Lot # 170162, 170163, 70164,170165, 170229, 170240, 170247, 170260 and SM 42048. International customers.","Anjon Holdings","4801 Dawin Rd",NA,"Jacksonville","FL","32207-9512","Ken Collins
904-730-9373","High rate of galling of one threaded component.","Device Design","The one unit released into the United States has already been returned, unused, to Anjon. No uncorrected product remains in distribution or in use in the USA.
No units subject to the failure mode have been released into distribution within Japan. All units shipped to Japan are being either returned to Anjon for reprocessing to remove the failure mode; or are to corrected by the addition of the instruction to use sterile surgical lubricant on the thread of the Slider. JMDM is the license holder for the product within Japan and will not release the product until resolution to its satisfaction of the issue.","249 devices","Worldwide distribution - US Nationwide distribution including in the state of MI and the country of Japan for training purposes.","3003346235",NA,"c(""2029275"", ""3006946279"", ""3007488163"", ""3032391"", ""1828288"", ""2011171"", ""2919128"", ""2031910"", ""3013004243"", ""3004927037"", ""3011500362"", ""3012187970"", ""1526439"", ""1828464"", ""3010165244"", ""3000270450"", ""2032480"", ""1038445"", ""3008534770"", ""1834379"", ""3013055499"", ""2531232"", ""1720929"", ""1057946"", ""3010287687"", ""8031020"", ""3009350690"", ""3004776227"", ""3025141"", ""3008114965"", ""1719045"", ""3009417901"", ""3012217062"", ""3004889950"", ""3005061536"", ""3004464325"", ""2090040"", ""9680825"", ""1043534"", ""9610905"", ""3010197348"", 
""3010860227"", ""3012571693"", ""2028632"", ""3006015326"", ""3008812560"", ""3003860203"", ""1818910"", ""1423662"", ""3013176080"", ""2244478"", ""1066368"", ""2242474"", ""3015882686"", ""1825034"", ""3010667733"", ""9612488"", ""2085446"", ""2032098"", ""3010156421"", ""2032112"", ""1066481"", ""3004927096"", ""1043653"")","c(""1000125025"", ""3003346235"", ""3006946279"", ""3007488163"", ""1000306303"", ""1828288"", ""2011171"", ""2919128"", ""3000215273"", ""3013004243"", ""3004927037"", ""3011500362"", ""3012187970"", ""3009833755"", ""1526439"", ""3010165244"", ""3002615969"", ""3000270450"", ""3000215566"", ""1038445"", ""3008534770"", ""1000519909"", ""3013055499"", ""1720929"", ""3002926812"", ""3010287687"", ""3002807464"", ""1000525271"", ""3002807827"", ""3009350690"", ""3002807830"", ""3004776227"", ""3008114965"", ""1719045"", ""3003076831"", ""3009417901"", ""3012217062"", ""3004889950"", 
""3005061536"", ""3004464325"", ""1043534"", ""3010197348"", ""3010860227"", ""3012571693"", ""1000125930"", ""3006015326"", ""3008812560"", ""3003860203"", ""1818910"", ""3013176080"", ""3002807651"", ""2242474"", ""3015882686"", ""1825034"", ""3010667733"", ""1000306431"", ""3003428720"", ""3002299608"", ""1000136269"", ""3010156421"", ""1828464"", ""3003058448"", ""3004927096"", ""1043653"")","Component, Traction, Invasive","Orthopedic","888.3040","2","c(""K903105"", ""K171863"", ""K032427"", ""K132731"", ""K882877"", ""K881896"", ""K954667"", ""K944092"", ""K971755"", ""K781841"", ""K781839"", ""K193256"", ""K960782"", ""K943857"", ""K965029"", ""K841334"", ""K884242"", ""K831576"", ""K071476"", ""K842493"", ""K952730"", ""K802776"", ""K833114"", ""K803166"", ""K781840"", ""K920149"", ""K761088"", ""K042066"", ""K892638"", ""K963614"", ""K981423"", ""K181192"", ""K930153"", ""K901984"", ""K934698"", ""K936124"", ""K952330"", ""K914858"", ""K961916"", ""K880282"", ""K012193"", ""K072432"", ""K830154"", ""K802814"", ""K984442"", ""K931578"", 
""K013818"", ""K991732"", ""K770388"", ""K790262"", ""K192465"", ""K792561"", ""K936045"", ""K102885"", ""K884798"", ""K163028"", ""K954838"", ""K822780"", ""K842343"", ""K993099"", ""K802723"", ""K800184"", ""K881673"", ""K894098"", ""K781793"", ""K961618"", ""K022676"", ""K030519"", ""K791466"", ""K770066"", ""K203605"", ""K022065"", ""K922796"", ""K920117"", ""K915800"", ""K872538"", ""K894982"", ""K894959"", ""K031941"", ""K082679"", ""K840856"", ""K933968"", ""K003848"", ""K852397"", ""K802722"")","NULL",NA,"2020-11-25","NULL"
"130","K193258",2020-01-31,"SESE",2020,1,31,2020-01-31,"OR","K191005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","K193270",2020-01-31,"SESE",2020,1,31,2020-01-31,"OR","K131538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","K193284",2020-01-31,"SESE",2020,1,31,2020-01-31,"OR","K151266","K141934","K152008","K050222","K113550","K150090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","K193295",2020-01-23,"SESE",2020,1,23,2020-01-23,"OR","K113730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","K193305",2020-04-23,"SESE",2020,4,23,2020-04-23,"OR","K150125","K142292","K181781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","K193308",2020-02-23,"SESE",2020,2,23,2020-02-23,"OR","K191271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","K193312",2020-08-12,"SESE",2020,8,12,2020-08-12,"OR","K140027","K122053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.3565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","K193320",2020-02-04,"SESE",2020,2,4,2020-02-04,"OR","K131122","K140106","K180502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","K193345",2020-07-08,"SESE",2020,7,8,2020-07-08,"OR","K090047","K143614","K150456","K172052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
